"elapsed time [ms]","stats.allocated","stats.active","stats.mapped"
278475.885565,228170531752,233185144832,234153123840
279477.759170,237721792792,242754101248,243720327168
280479.457561,242587561576,247646539776,248612347904
281481.333825,247529827304,252601016320,253566832640
282483.151616,249797091672,254889041920,255854157824
283484.835026,253827349688,258940588032,259904258048
284486.674156,257885938088,263033622528,263997202432
285491.343255,258446444664,263632289792,264595693568
286492.327021,263497273560,268723007488,269685837824
287493.435972,268361706344,273625563136,274587348992
288495.943434,271332105624,276645855232,277606731776
289497.755035,273576363576,278921768960,279881089024
290500.384079,273604220792,278950494208,279909797888
291502.331822,273690051896,279038959616,279998259200
292505.016946,273805426168,279157862400,280117174272
293507.120751,273858612472,279212666880,280171982848
294510.201963,274416978616,279771688960,280731004928
295512.358352,274437640568,279792988160,280752295936
296514.367663,274464131768,279820300288,280779595776
297516.606003,274530029400,279888252928,280847474688
298518.801980,274560226232,279919382528,280878604288
299520.818440,274598740152,279959015424,280918216704
300523.284322,274656241464,280018329600,280977530880
301524.961387,274669643256,280032145408,280991346688
302527.183498,274676053496,280038723584,280997924864
303528.844930,274693277688,280056475648,281015676928
304533.008649,274734686712,280099180544,281058373632
305537.414628,274759873976,280125112320,281084313600
306540.945682,274778457144,280144273408,281103474688
307542.515849,274782541320,280148541440,281108611072
308657.495380,274782541320,280148541440,281108611072
309659.028191,274785851464,280151941120,281112010752
310660.562124,274785982536,280152076288,281112145920
311662.112561,274804126728,280170786816,281130856448
312664.009038,274848852360,280216842240,281177186304
313665.692643,274881997432,280251015168,281211359232
314669.039362,275178255336,280556355584,281516679168
315773.607350,275255056680,280635539456,281595867136
316775.362846,275257718184,280638279680,281598607360
317777.749864,276062403176,281450999808,282411335680
318779.644651,276101195944,281490984960,282451316736
319782.558250,276474227480,281875570688,282836246528
320784.984517,276550311208,281953943552,282914672640
321789.535744,276758342344,282168356864,283127984128
322792.765071,277419726920,282833534976,283793641472
323795.509366,277432001544,282846162944,283806371840
324821.266437,277445380568,282859950080,283819958272
325822.931187,277488902904,282904838144,283864760320
